53,Breaded Life,2021,"₦88,860,057[23]",Shutter Speed Projects,Biodun Stephen
54,Passport,2022,"₦86,342,925[24]",VSL MEDIA,Dimeji Ajibola
55,Fifty,2015,"₦80,030,500[25]",EbonyLife Films,Biyi Bandele
56,Kesari- The King,2023,"₦77,161,925",Itele 'D' Concept / FilmOne Studios,"Tope Adebayo, Ibrahim Yekini"
57,The Ghost and the Tout,2018,"₦77,233,105[6]",Toyin Abraham Productions,Charles Uwagbai
58,Alakada Reloaded,2017,"₦74,331,349[6]",Toyin Abraham Productions,Toyin Abraham
59,'76,2016,"₦72,400,000[12]",Adonis Productions / Princewill's Trust,Izu Ojukwu
60,Summer Rain,2025,"₦71,450,138",Imagine Media Studios /The Ogunmola Company,Adenike Adebayo- Esho
61,Rattlesnake: The Ahanna Story,2020,"₦70,815,150[26]",Play Entertainment Network/FilmOne Entertainment,Ramsey Nouah
62,Makemation,2025,"₦70,000,000",Rise Interactive Studios,Michael Akinrogunde
63,My Wife and I,2017,"₦67,882,573[27]",Inkblot Productions,Bunmi Ajakaiye
64,Superstar,2021,"₦67,132,500[7]",Inkblot and Filmone,Akhigbe Ilozobhie
65,Wives on Strike,2016,"₦66,753,162[10]",Dioni Visions,Omoni Oboli
66,Bad Comments,2021,"₦66,584,531[28]",Elrab Entertainment,Moses Inwang
67,Moms at War,2018,"₦65,278,052[12]",Dioni Visions,Omoni Oboli
68,Asoebi Diaries,2025,"₦62,073,828",lady laide Studios,Biodun Stephen
69,Something Like Gold,2023,"₦60,163,273",Film Trybe / Greenwealth Production / FilmOne Studios,Kayode Kasum
70,Half of a Yellow Sun,2013,"₦60,000,000[29]",Shareman Media / Slate Films,Biyi Bandele
71,Ijé,2010,"₦59,800,000[33]",Xandria Productions,Chineze Anyaene
72,The Royal Hibiscus Hotel,2018,"₦58,825,152[34]",Ebonylife Films,Ishaya Bako
73,Last Flight to Abuja,2012,"₦57,000,000[35]",The Nollywood Factory,Obi Emelonye
74,Afamefuna,2023,"₦55,589,125",Come On Naija LTD,Kayode Kasum
75,It's Her Day,2016,"₦55,021,150[36]",Kountry Kulture Network,Aniedi Anwah
